"marker","marker_label","units","higher_is","sex_code","sex","source","provisional","row_type","age","n_band","mean","sd","p25","p75","fit","lo50","hi50","k","q","s_pooled","age_min","age_max","n_total","n_bands"
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",53.5,NA,NA,NA,NA,NA,43.7152,37.7851,49.6454,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",54,NA,NA,NA,NA,NA,43.5975,37.6673,49.5276,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",54.5,NA,NA,NA,NA,NA,43.4797,37.5496,49.4099,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",55,NA,NA,NA,NA,NA,43.3619,37.4318,49.2921,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",55.5,NA,NA,NA,NA,NA,43.2442,37.314,49.1743,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",56,NA,NA,NA,NA,NA,43.1264,37.1963,49.0566,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",56.5,NA,NA,NA,NA,NA,43.0086,37.0785,48.9388,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",57,NA,NA,NA,NA,NA,42.8909,36.9607,48.821,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",57.5,NA,NA,NA,NA,NA,42.7731,36.843,48.7033,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",58,NA,NA,NA,NA,NA,42.6554,36.7252,48.5855,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",58.5,NA,NA,NA,NA,NA,42.5376,36.6074,48.4677,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",59,NA,NA,NA,NA,NA,42.4198,36.4897,48.35,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",59.5,NA,NA,NA,NA,NA,42.3021,36.3719,48.2322,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",60,NA,NA,NA,NA,NA,42.1843,36.2541,48.1144,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",60.5,NA,NA,NA,NA,NA,42.0665,36.1364,47.9967,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",61,NA,NA,NA,NA,NA,41.9488,36.0186,47.8789,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",61.5,NA,NA,NA,NA,NA,41.831,35.9008,47.7612,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",62,NA,NA,NA,NA,NA,41.7132,35.7831,47.6434,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",62.5,NA,NA,NA,NA,NA,41.5955,35.6653,47.5256,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",63,NA,NA,NA,NA,NA,41.4777,35.5475,47.4079,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",63.5,NA,NA,NA,NA,NA,41.3599,35.4298,47.2901,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",64,NA,NA,NA,NA,NA,41.2422,35.312,47.1723,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",64.5,NA,NA,NA,NA,NA,41.1244,35.1943,47.0546,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",65,NA,NA,NA,NA,NA,41.0066,35.0765,46.9368,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",65.5,NA,NA,NA,NA,NA,40.8889,34.9587,46.819,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",66,NA,NA,NA,NA,NA,40.7711,34.841,46.7013,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",66.5,NA,NA,NA,NA,NA,40.6533,34.7232,46.5835,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",67,NA,NA,NA,NA,NA,40.5356,34.6054,46.4657,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",67.5,NA,NA,NA,NA,NA,40.4178,34.4877,46.348,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",68,NA,NA,NA,NA,NA,40.3,34.3699,46.2302,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",68.5,NA,NA,NA,NA,NA,40.1823,34.2521,46.1124,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",69,NA,NA,NA,NA,NA,40.0645,34.1344,45.9947,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",69.5,NA,NA,NA,NA,NA,39.9468,34.0166,45.8769,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",70,NA,NA,NA,NA,NA,39.829,33.8988,45.7591,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",70.5,NA,NA,NA,NA,NA,39.7112,33.7811,45.6414,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",71,NA,NA,NA,NA,NA,39.5935,33.6633,45.5236,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",71.5,NA,NA,NA,NA,NA,39.4757,33.5455,45.4058,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",72,NA,NA,NA,NA,NA,39.3579,33.4278,45.2881,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",72.5,NA,NA,NA,NA,NA,39.2402,33.31,45.1703,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",73,NA,NA,NA,NA,NA,39.1224,33.1922,45.0526,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",73.5,NA,NA,NA,NA,NA,39.0046,33.0745,44.9348,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",74,NA,NA,NA,NA,NA,38.8869,32.9567,44.817,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",74.5,NA,NA,NA,NA,NA,38.7691,32.8389,44.6993,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",75,NA,NA,NA,NA,NA,38.6513,32.7212,44.5815,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",75.5,NA,NA,NA,NA,NA,38.5336,32.6034,44.4637,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",76,NA,NA,NA,NA,NA,38.4158,32.4857,44.346,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",76.5,NA,NA,NA,NA,NA,38.298,32.3679,44.2282,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",77,NA,NA,NA,NA,NA,38.1803,32.2501,44.1104,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",77.5,NA,NA,NA,NA,NA,38.0625,32.1324,43.9927,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",78,NA,NA,NA,NA,NA,37.9447,32.0146,43.8749,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",78.5,NA,NA,NA,NA,NA,37.827,31.8968,43.7571,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",79,NA,NA,NA,NA,NA,37.7092,31.7791,43.6394,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",79.5,NA,NA,NA,NA,NA,37.5915,31.6613,43.5216,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",80,NA,NA,NA,NA,NA,37.4737,31.5435,43.4038,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",2,"Women","NHANES 2011-2014",FALSE,"fit",18,NA,NA,NA,NA,NA,33.5794,29.7492,37.4095,-0.157158,36.4082,5.6786,18,80,NA,0
"grip","Grip strength","kg","younger",2,"Women","NHANES 2011-2014",FALSE,"fit",18.5,NA,NA,NA,NA,NA,33.5008,29.6706,37.3309,-0.157158,36.4082,5.6786,18,80,NA,0
"grip","Grip strength","kg","younger",2,"Women","NHANES 2011-2014",FALSE,"fit",19,NA,NA,NA,NA,NA,33.4222,29.5921,37.2524,-0.157158,36.4082,5.6786,18,80,NA,0
"grip","Grip strength","kg","younger",2,"Women","NHANES 2011-2014",FALSE,"fit",19.5,NA,NA,NA,NA,NA,33.3436,29.5135,37.1738,-0.157158,36.4082,5.6786,18,80,NA,0
"grip","Grip strength","kg","younger",2,"Women","NHANES 2011-2014",FALSE,"fit",20,NA,NA,NA,NA,NA,33.2651,29.4349,37.0952,-0.157158,36.4082,5.6786,18,80,NA,0
"grip","Grip strength","kg","younger",2,"Women","NHANES 2011-2014",FALSE,"fit",20.5,NA,NA,NA,NA,NA,33.1865,29.3563,37.0166,-0.157158,36.4082,5.6786,18,80,NA,0
"grip","Grip strength","kg","younger",2,"Women","NHANES 2011-2014",FALSE,"fit",21,NA,NA,NA,NA,NA,33.1079,29.2778,36.938,-0.157158,36.4082,5.6786,18,80,NA,0
"grip","Grip strength","kg","younger",2,"Women","NHANES 2011-2014",FALSE,"fit",21.5,NA,NA,NA,NA,NA,33.0293,29.1992,36.8595,-0.157158,36.4082,5.6786,18,80,NA,0
"grip","Grip strength","kg","younger",2,"Women","NHANES 2011-2014",FALSE,"fit",22,NA,NA,NA,NA,NA,32.9507,29.1206,36.7809,-0.157158,36.4082,5.6786,18,80,NA,0
"grip","Grip strength","kg","younger",2,"Women","NHANES 2011-2014",FALSE,"fit",22.5,NA,NA,NA,NA,NA,32.8722,29.042,36.7023,-0.157158,36.4082,5.6786,18,80,NA,0
"grip","Grip strength","kg","younger",2,"Women","NHANES 2011-2014",FALSE,"fit",23,NA,NA,NA,NA,NA,32.7936,28.9634,36.6237,-0.157158,36.4082,5.6786,18,80,NA,0
"grip","Grip strength","kg","younger",2,"Women","NHANES 2011-2014",FALSE,"fit",23.5,NA,NA,NA,NA,NA,32.715,28.8849,36.5451,-0.157158,36.4082,5.6786,18,80,NA,0
